Treat.ID,Treat.desc,Treat.aging.time,Treat.priming.wp,Treat.priming.temp,Treat.priming.duration,Germ.wp,Germ.temp,Germ.promoter.dosage,Germ.inhibitor.dosage,Germ.time.hours,Germ.pct,Germ.fraction
1,TomatoSeeds,,0,20,0,0,20,,,32,1,0.01
1,TomatoSeeds,,0,20,0,0,20,,,39,1,0.01
1,TomatoSeeds,,0,20,0,0,20,,,48,3,0.03
1,TomatoSeeds,,0,20,0,0,20,,,56,13.5,0.135
1,TomatoSeeds,,0,20,0,0,20,,,63,31.5,0.315
1,TomatoSeeds,,0,20,0,0,20,,,72,52.5,0.525
1,TomatoSeeds,,0,20,0,0,20,,,79.87470596,64,0.64
1,TomatoSeeds,,0,20,0,0,20,,,86.62400636,73,0.73
1,TomatoSeeds,,0,20,0,0,20,,,95.49934554,81,0.81
1,TomatoSeeds,,0,20,0,0,20,,,109.1247856,84.5,0.845
1,TomatoSeeds,,0,20,0,0,20,,,122.3742985,88,0.88
1,TomatoSeeds,,0,20,0,0,20,,,144.4995675,92,0.92
1,TomatoSeeds,,0,20,0,0,20,,,168.6244899,93.5,0.935
1,TomatoSeeds,,0,20,0,0,20,,,193.7495153,93.5,0.935
2,TomatoSeeds,,0,20,11.11111111,0,20,,,32,0.005,0.00005
2,TomatoSeeds,,0,20,11.11111111,0,20,,,39,0.5,0.005
2,TomatoSeeds,,0,20,11.11111111,0,20,,,48,0.5,0.005
2,TomatoSeeds,,0,20,11.11111111,0,20,,,56,7,0.07
2,TomatoSeeds,,0,20,11.11111111,0,20,,,63,24,0.24
2,TomatoSeeds,,0,20,11.11111111,0,20,,,72,48.5,0.485
2,TomatoSeeds,,0,20,11.11111111,0,20,,,79.87470596,62.5,0.625
2,TomatoSeeds,,0,20,11.11111111,0,20,,,86.62400636,72.5,0.725
2,TomatoSeeds,,0,20,11.11111111,0,20,,,95.49934554,78.5,0.785
2,TomatoSeeds,,0,20,11.11111111,0,20,,,109.1247856,88,0.88
2,TomatoSeeds,,0,20,11.11111111,0,20,,,122.3742985,90,0.9
2,TomatoSeeds,,0,20,11.11111111,0,20,,,144.4995675,91.5,0.915
2,TomatoSeeds,,0,20,11.11111111,0,20,,,168.6244899,92,0.92
2,TomatoSeeds,,0,20,11.11111111,0,20,,,193.7495153,92.5,0.925
3,TomatoSeeds,,0,20,22.22222222,0,20,,,32,1.5,0.015
3,TomatoSeeds,,0,20,22.22222222,0,20,,,39,2.5,0.025
3,TomatoSeeds,,0,20,22.22222222,0,20,,,48,2.5,0.025
3,TomatoSeeds,,0,20,22.22222222,0,20,,,56,9,0.09
3,TomatoSeeds,,0,20,22.22222222,0,20,,,63,26,0.26
3,TomatoSeeds,,0,20,22.22222222,0,20,,,72,62.5,0.625
3,TomatoSeeds,,0,20,22.22222222,0,20,,,79.87470596,76.5,0.765
3,TomatoSeeds,,0,20,22.22222222,0,20,,,86.62400636,83.5,0.835
3,TomatoSeeds,,0,20,22.22222222,0,20,,,95.49934554,87.5,0.875
3,TomatoSeeds,,0,20,22.22222222,0,20,,,109.1247856,91,0.91
