TrtID,TrtDesc,GermWP,GermTemp,CumTime,nTotal,nGerminated
1,Tomato-15C-Water,0,15,95,50,3
1,Tomato-15C-Water,0,15,101,50,4
1,Tomato-15C-Water,0,15,103,50,5
1,Tomato-15C-Water,0,15,106,50,6
1,Tomato-15C-Water,0,15,108,50,8
1,Tomato-15C-Water,0,15,110,50,10
1,Tomato-15C-Water,0,15,112,50,13
1,Tomato-15C-Water,0,15,115,50,14
1,Tomato-15C-Water,0,15,118,50,17
1,Tomato-15C-Water,0,15,120,50,20
1,Tomato-15C-Water,0,15,122,50,21
1,Tomato-15C-Water,0,15,125,50,24
1,Tomato-15C-Water,0,15,127,50,26
1,Tomato-15C-Water,0,15,129,50,29
1,Tomato-15C-Water,0,15,131,50,30
1,Tomato-15C-Water,0,15,133,50,35
1,Tomato-15C-Water,0,15,136,50,36
1,Tomato-15C-Water,0,15,138,50,38
1,Tomato-15C-Water,0,15,141,50,40
1,Tomato-15C-Water,0,15,144,50,42
1,Tomato-15C-Water,0,15,149,50,44
1,Tomato-15C-Water,0,15,155,50,46
1,Tomato-15C-Water,0,15,166,50,47
1,Tomato-15C-Water,0,15,169,50,48
1,Tomato-15C-Water,0,15,175,50,48
1,Tomato-15C-Water,0,15,180,50,48
1,Tomato-15C-Water,0,15,185,50,48
1,Tomato-15C-Water,0,15,190,50,48
2,Tomato-15C-0.25MPa,-0.25,15,141,50,3
2,Tomato-15C-0.25MPa,-0.25,15,142,50,3
2,Tomato-15C-0.25MPa,-0.25,15,145,50,4
2,Tomato-15C-0.25MPa,-0.25,15,146,50,5
2,Tomato-15C-0.25MPa,-0.25,15,151,50,5
2,Tomato-15C-0.25MPa,-0.25,15,152,50,6
2,Tomato-15C-0.25MPa,-0.25,15,153,50,6
2,Tomato-15C-0.25MPa,-0.25,15,154,50,7
2,Tomato-15C-0.25MPa,-0.25,15,156,50,8
2,Tomato-15C-0.25MPa,-0.25,15,157,50,8
2,Tomato-15C-0.25MPa,-0.25,15,158,50,9
2,Tomato-15C-0.25MPa,-0.25,15,159,50,10
2,Tomato-15C-0.25MPa,-0.25,15,160,50,11
2,Tomato-15C-0.25MPa,-0.25,15,162,50,13
2,Tomato-15C-0.25MPa,-0.25,15,164,50,13
2,Tomato-15C-0.25MPa,-0.25,15,165,50,19
2,Tomato-15C-0.25MPa,-0.25,15,166,50,22
2,Tomato-15C-0.25MPa,-0.25,15,167,50,23
2,Tomato-15C-0.25MPa,-0.25,15,170,50,25
2,Tomato-15C-0.25MPa,-0.25,15,171,50,26
2,Tomato-15C-0.25MPa,-0.25,15,172,50,28
2,Tomato-15C-0.25MPa,-0.25,15,173,50,28
2,Tomato-15C-0.25MPa,-0.25,15,174,50,29
2,Tomato-15C-0.25MPa,-0.25,15,176,50,30
2,Tomato-15C-0.25MPa,-0.25,15,177,50,30
2,Tomato-15C-0.25MPa,-0.25,15,178,50,31
2,Tomato-15C-0.25MPa,-0.25,15,179,50,32
2,Tomato-15C-0.25MPa,-0.25,15,180,50,33
2,Tomato-15C-0.25MPa,-0.25,15,181,50,34
2,Tomato-15C-0.25MPa,-0.25,15,184,50,35
2,Tomato-15C-0.25MPa,-0.25,15,188,50,35
2,Tomato-15C-0.25MPa,-0.25,15,189,50,36
2,Tomato-15C-0.25MPa,-0.25,15,190,50,36
2,Tomato-15C-0.25MPa,-0.25,15,192,50,38
2,Tomato-15C-0.25MPa,-0.25,15,193,50,39
2,Tomato-15C-0.25MPa,-0.25,15,194,50,40
2,Tomato-15C-0.25MPa,-0.25,15,195,50,41
2,Tomato-15C-0.25MPa,-0.25,15,200,50,42
2,Tomato-15C-0.25MPa,-0.25,15,202,50,43
2,Tomato-15C-0.25MPa,-0.25,15,203,50,45
2,Tomato-15C-0.25MPa,-0.25,15,204,50,45
2,Tomato-15C-0.25MPa,-0.25,15,209,50,46
2,Tomato-15C-0.25MPa,-0.25,15,210,50,47
2,Tomato-15C-0.25MPa,-0.25,15,216,50,47
2,Tomato-15C-0.25MPa,-0.25,15,226,50,48
2,Tomato-15C-0.25MPa,-0.25,15,231,50,48
2,Tomato-15C-0.25MPa,-0.25,15,241,50,49
2,Tomato-15C-0.25MPa,-0.25,15,264,50,49
3,Tomato-15C-0.4MPa,-0.4,15,152,50,3
3,Tomato-15C-0.4MPa,-0.4,15,153,50,3
3,Tomato-15C-0.4MPa,-0.4,15,154,50,4
3,Tomato-15C-0.4MPa,-0.4,15,156,50,4
3,Tomato-15C-0.4MPa,-0.4,15,162,50,5
3,Tomato-15C-0.4MPa,-0.4,15,163,50,7
3,Tomato-15C-0.4MPa,-0.4,15,164,50,7
3,Tomato-15C-0.4MPa,-0.4,15,166,50,8
