Treat.ID,Treat.desc,Treat.aging.time,Treat.priming.wp,Treat.priming.temp,Treat.priming.duration,Germ.wp,Germ.temp,Germ.promoter.dosage,Germ.inhibitor.dosage,Germ.time.hours,Germ.pct,Germ.fraction
1,TruePotatoSeeds,,,,,0,11.9,,,132,34.4,0.344
1,TruePotatoSeeds,,,,,0,11.9,,,138,48.8,0.488
1,TruePotatoSeeds,,,,,0,11.9,,,141.5,59.2,0.592
1,TruePotatoSeeds,,,,,0,11.9,,,156,71.2,0.712
1,TruePotatoSeeds,,,,,0,11.9,,,164.5,81.6,0.816
1,TruePotatoSeeds,,,,,0,11.9,,,181,89.6,0.896
1,TruePotatoSeeds,,,,,0,11.9,,,186.5,92,0.92
1,TruePotatoSeeds,,,,,0,11.9,,,206.5,95.2,0.952
1,TruePotatoSeeds,,,,,0,11.9,,,225,96,0.96
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,132,6.4,0.064
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,138,10.4,0.104
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,141.5,13.6,0.136
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,156,30.4,0.304
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,164.5,45.6,0.456
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,181,60,0.6
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,186.5,67.2,0.672
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,206.5,76.8,0.768
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,225,83.2,0.832
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,232.5,86.4,0.864
2,TruePotatoSeeds,,,,,-0.2238,11.9,,,251.5,89.6,0.896
3,TruePotatoSeeds,,,,,-0.441,11.9,,,156,4,0.04
3,TruePotatoSeeds,,,,,-0.441,11.9,,,164.5,6.4,0.064
3,TruePotatoSeeds,,,,,-0.441,11.9,,,181,20,0.2
3,TruePotatoSeeds,,,,,-0.441,11.9,,,186.5,28.8,0.288
3,TruePotatoSeeds,,,,,-0.441,11.9,,,206.5,39.2,0.392
3,TruePotatoSeeds,,,,,-0.441,11.9,,,225,54.4,0.544
3,TruePotatoSeeds,,,,,-0.441,11.9,,,232.5,63.2,0.632
3,TruePotatoSeeds,,,,,-0.441,11.9,,,251.5,72,0.72
3,TruePotatoSeeds,,,,,-0.441,11.9,,,256,73.6,0.736
3,TruePotatoSeeds,,,,,-0.441,11.9,,,274,77.6,0.776
